NombreCliente,NombreProducto,CantidadVendida,TotalVenta
Melissa Kelley,Laugh,1,677.18000000
Melissa Kelley,Small,6,965.22000000
Lori Moreno,Fish,5,3612.15000000
Lori Moreno,Effect,10,7139.80000000
Lori Moreno,Month,6,3910.32000000
Lori Moreno,Recognize,8,4158.56000000
Lori Moreno,Shoulder,2,842.78000000
Brian Hernandez,Fund,5,2927.20000000
Frank Maddox,Including,1,807.03000000
Frank Maddox,Consider,8,2667.92000000
Blake Andersen,Finally,8,5942.56000000
Jacob Johnson,End,6,34.92000000
Jacob Johnson,Single,5,3139.40000000
Jacob Johnson,Idea,3,2493.48000000
Laura Gonzalez,Almost,10,8409.00000000
Laura Gonzalez,Television,8,831.20000000
Laura Gonzalez,By,6,2697.66000000
Laura Gonzalez,Age,5,4787.95000000
Sherri Wright,Task,9,6075.18000000
Sherri Wright,Experience,4,3908.08000000
Sherri Wright,Join,2,781.78000000
Sherri Wright,Expert,1,83.31000000
Sarah Adkins,Rich,8,2318.32000000
Sarah Adkins,These,4,3026.84000000
Sarah Adkins,Deal,3,2378.37000000
Alexandra Kennedy,Herself,3,1164.57000000
Alexandra Kennedy,Surface,2,153.86000000
Mark Farley,Network,5,92.35000000
Mark Farley,Memory,2,751.44000000
Mark Farley,Determine,9,219.33000000
Mark Farley,Box,9,2455.74000000
Mark Farley,Near,6,154.08000000
Anthony Hodges,Follow,10,3200.60000000
Anthony Hodges,Economic,1,273.89000000
Anthony Hodges,Far,6,2128.08000000
Anthony Hodges,Everybody,10,1641.50000000
Anthony Hodges,Conference,7,73.57000000
Christopher Humphrey,Other,1,713.94000000
Christopher Humphrey,The,2,1318.00000000
Kristin Roberson,Leave,10,2870.10000000
Kristin Roberson,Three,3,415.32000000
Sara Lam,Less,8,6653.28000000
Sara Lam,Watch,2,1217.36000000
Sara Lam,Almost,3,1680.69000000
Sara Lam,Drive,10,2055.50000000
Ashley Phillips,Sport,7,4308.50000000
Ashley Phillips,Environment,6,4001.64000000
Ashley Phillips,Believe,9,378.54000000
Jessica Mcpherson,Personal,10,6289.10000000
Thomas Myers,Night,2,1966.36000000
Thomas Myers,Open,6,4078.68000000
Thomas Myers,Blood,10,9018.50000000
Thomas Myers,Check,8,6803.92000000
Thomas Myers,Majority,6,1519.02000000
Michael Jones,Style,1,209.97000000
Kyle Gibson,Remain,1,276.55000000
Kyle Gibson,Anyone,3,1252.29000000
Lauren Schneider,Fund,2,904.46000000
Lauren Schneider,Statement,8,173.68000000
Lauren Schneider,Too,5,2254.80000000
Patricia Pineda,Director,3,2241.96000000
Brittany Aguirre,Hit,1,730.87000000
Brittany Aguirre,Much,3,1842.12000000
Brittany Aguirre,Long,10,345.80000000
Brittany Aguirre,City,9,7983.27000000
Brittany Aguirre,On,5,3624.95000000
Mary Hughes,Enough,10,7772.40000000
Mary Hughes,Can,5,3389.90000000
Mary Hughes,Change,8,5324.00000000
Jamie Smith,Book,1,383.78000000
Jamie Smith,Religious,9,336.69000000
Jamie Smith,Water,5,4705.55000000
Jamie Smith,Kitchen,8,5233.04000000
Jamie Smith,Environmental,5,1389.60000000
Brittany Barron,Traditional,8,2521.52000000
Lisa Sanders,Step,4,2406.16000000
Lisa Sanders,Party,5,926.60000000
Lisa Sanders,Myself,7,4678.66000000
Aaron Evans,Car,2,23.66000000
Aaron Evans,Beyond,5,2856.80000000
Aaron Evans,Different,10,8628.80000000
Rachael Welch,Focus,4,2395.08000000
Rachael Welch,Low,3,1808.61000000
Shannon Case,Family,8,2508.24000000
Shannon Case,Down,6,3052.62000000
Carolyn Roberson,Ability,3,2302.32000000
Carolyn Roberson,Appear,3,683.76000000
Carolyn Roberson,Billion,7,3895.29000000
Carolyn Roberson,Office,10,640.90000000
Adam Boone,Forward,4,949.40000000
Adam Boone,Always,4,1040.84000000
Adam Boone,Republican,8,6613.20000000
Adam Boone,Send,8,760.64000000
Sally Lozano,Bank,8,2903.36000000
Sally Lozano,View,10,3038.90000000
Sally Lozano,Interview,10,3940.40000000
